;Région;agence_1;agence_2;Support;Solde;Solde confirmé ?;Date Solde
1745;ROUSSILLON;PTI AGEN;PRIMEVER PERPIGNAN 1;PAL EUROPE;208;Non;2023-09-30
1746;ROUSSILLON;PTR PERPIGNAN;PRIMEVER PERPIGNAN 1;PAL EUROPE;0;Oui;2023-04-30
1747;ROUSSILLON;PTSO MOISSAC;PRIMEVER PERPIGNAN 1;PAL EUROPE;6;Oui;2024-01-31
1748;ROUSSILLON;SATAR AGEN LOGISTIQUE;PRIMEVER PERPIGNAN 1;PAL EUROPE;-1762;Non;2023-07-31
1749;ROUSSILLON;SATAR AGEN PRIMEUR;PRIMEVER PERPIGNAN 1;PAL EUROPE;29;Non;2023-11-30
1750;ROUSSILLON;SATAR BORDEAUX;PRIMEVER PERPIGNAN 1;PAL EUROPE;44;Non;2023-10-31
1751;ROUSSILLON;SATAR MOISSAC;PRIMEVER PERPIGNAN 1;PAL EUROPE;39;Non;2023-11-30
1752;ROUSSILLON;SATAR SAMAZAN;PRIMEVER PERPIGNAN 1;PAL EUROPE;-1247;Non;2023-11-30
1753;ROUSSILLON;TMF BEZIERS;PRIMEVER PERPIGNAN 1;PAL EUROPE;316;Oui;2024-03-31
1754;ROUSSILLON;TMF ESTILLAC;PRIMEVER PERPIGNAN 1;PAL EUROPE;27;Non;2023-07-31
1755;ROUSSILLON;TMF MALATAVERNE;PRIMEVER PERPIGNAN 1;PAL EUROPE;713;Non;2023-07-31
1756;ROUSSILLON;TMF PERPIGNAN;PRIMEVER PERPIGNAN 1;PAL EUROPE;195;Non;2023-07-31
1757;ROUSSILLON;PRA LYON;PRIMEVER PERPIGNAN 2;PAL DUSS;0;Oui;2022-12-31
1758;ROUSSILLON;PLM MONTPELLIER;PRIMEVER PERPIGNAN 2;PAL EUROPE;0;Oui;2022-12-31
1759;ROUSSILLON;PRA LYON;PRIMEVER PERPIGNAN 2;PAL EUROPE;0;Oui;2022-12-31
1760;ROUSSILLON;PRIMEVER PERPIGNAN 1;PRIMEVER PERPIGNAN 2;PAL EUROPE;0;Oui;2023-11-30
1761;ROUSSILLON;SERRES ET PILAIRE PERPIGNAN;PRIMEVER PERPIGNAN 2;PAL EUROPE;0;Oui;2024-02-29
1762;ROUSSILLON;PRIMEVER PERPIGNAN 1;PRIMEVER PERPIGNAN 3;PAL DUSS;0;Oui;2023-12-31
1763;ROUSSILLON;PRIMEVER PERPIGNAN 1;PRIMEVER PERPIGNAN 3;PAL EUROPE;2;Non;2024-03-31
1764;ROUSSILLON;PRIMEVER TOULOUSE;PRIMEVER PERPIGNAN 3;PAL EUROPE;0;Oui;2023-12-31
1765;ROUSSILLON;SATAR AGEN LOGISTIQUE;PRIMEVER PERPIGNAN 3;PAL EUROPE;0;Oui;2024-02-29
1766;ROUSSILLON;SATAR MOISSAC;PRIMEVER PERPIGNAN 3;PAL EUROPE;0;Oui;2023-12-31
1767;ROUSSILLON;GUIDEZ MONCHY LE PREUX;PRIMEVER PERPIGNAN 5;PAL EUROPE;-181;Non;2024-03-31
1768;ROUSSILLON;PLM MONTPELLIER;PRIMEVER PERPIGNAN 5;PAL EUROPE;0;Oui;2023-10-31
1769;ROUSSILLON;PRIMEVER IDF RUNGIS (GST);PRIMEVER PERPIGNAN 5;PAL EUROPE;73;Non;2023-11-30
1770;ROUSSILLON;PRIMEVER LIMOUSIN DONZENAC;PRIMEVER PERPIGNAN 5;PAL EUROPE;9;Oui;2024-03-31
1771;ROUSSILLON;PRIMEVER PERPIGNAN 1;PRIMEVER PERPIGNAN 5;PAL EUROPE;0;Non;2024-03-31
1772;ROUSSILLON;PRIMEVER PERPIGNAN 3;PRIMEVER PERPIGNAN 5;PAL EUROPE;0;Oui;2023-09-30
1773;ROUSSILLON;PRIMEVER TOULOUSE;PRIMEVER PERPIGNAN 5;PAL EUROPE;-756;Non;2023-12-31
1774;ROUSSILLON;SATAR SAMAZAN;PRIMEVER PERPIGNAN 5;PAL EUROPE;0;Oui;2022-12-31
1775;ROUSSILLON;SERRES ET PILAIRE PERPIGNAN;PRIMEVER PERPIGNAN 5;PAL EUROPE;0;Oui;2023-10-31
1776;ROUSSILLON;TMF BEZIERS;PRIMEVER PERPIGNAN 5;PAL EUROPE;58;Non;2023-09-30
1777;ROUSSILLON;PRIMEVER IDF RUNGIS (GST);PRIMEVER TOULOUSE;PAL DUSS;-20;Non;2022-12-31
1778;ROUSSILLON;PRIMEVER TOURS;PRIMEVER TOULOUSE;PAL DUSS;0;Oui;2024-01-31
1779;ROUSSILLON;GUIDEZ MONCHY LE PREUX;PRIMEVER TOULOUSE;PAL EUROPE;-17;Non;2024-01-31
1780;ROUSSILLON;PATL ALLONNES;PRIMEVER TOULOUSE;PAL EUROPE;-72;Non;2023-07-31
1781;ROUSSILLON;PATL REZE;PRIMEVER TOULOUSE;PAL EUROPE;-26;Non;2022-12-31
1782;ROUSSILLON;PLM MONTPELLIER;PRIMEVER TOULOUSE;PAL EUROPE;0;Oui;2022-12-31
1783;ROUSSILLON;PLM PLAN D'ORGON;PRIMEVER TOULOUSE;PAL EUROPE;-4;Oui;2024-01-31
1784;ROUSSILLON;PRA LYON;PRIMEVER TOULOUSE;PAL EUROPE;-7;Oui;2024-04-30
1785;ROUSSILLON;PRIMEVER IDF LOGISTIQUE RUNGIS;PRIMEVER TOULOUSE;PAL EUROPE;0;Oui;2024-01-31
1786;ROUSSILLON;PRIMEVER IDF RUNGIS (GST);PRIMEVER TOULOUSE;PAL EUROPE;-1019;Non;2023-12-31
1787;ROUSSILLON;PRIMEVER LIMOUSIN DONZENAC;PRIMEVER TOULOUSE;PAL EUROPE;-121;Non;2023-11-30
1788;ROUSSILLON;PRIMEVER ORLEANS;PRIMEVER TOULOUSE;PAL EUROPE;0;Oui;2024-03-31
1789;ROUSSILLON;PRIMEVER PERPIGNAN 1;PRIMEVER TOULOUSE;PAL EUROPE;2910;Non;2023-12-31
1790;ROUSSILLON;PRIMEVER PERPIGNAN 5;PRIMEVER TOULOUSE;PAL EUROPE;782;Non;2023-12-31
1791;ROUSSILLON;PRIMEVER PROVENCE CHATEAURENARD;PRIMEVER TOULOUSE;PAL EUROPE;-86;Non;2022-12-31
1792;ROUSSILLON;PRIMEVER TOURS;PRIMEVER TOULOUSE;PAL EUROPE;0;Oui;2024-01-31
1793;ROUSSILLON;PRIMEVER VDR CHATEAUNEUF SUR ISERE;PRIMEVER TOULOUSE;PAL EUROPE;-166;Non;2022-12-31
1794;ROUSSILLON;SATAR AGEN PRIMEUR;PRIMEVER TOULOUSE;PAL EUROPE;-69;Non;2022-12-31
1795;ROUSSILLON;SATAR MOISSAC;PRIMEVER TOULOUSE;PAL EUROPE;-1010;Non;2022-12-31
1796;ROUSSILLON;SATAR SAMAZAN;PRIMEVER TOULOUSE;PAL EUROPE;-680;Non;2023-07-31
1797;ROUSSILLON;SERRES ET PILAIRE PERPIGNAN;PRIMEVER TOULOUSE;PAL EUROPE;0;Oui;2024-04-30
1798;ROUSSILLON;TESSIER PONT SAINT MARTIN;PRIMEVER TOULOUSE;PAL EUROPE;0;Oui;2024-01-31
1799;ROUSSILLON;TMF BEZIERS;PRIMEVER TOULOUSE;PAL EUROPE;0;Oui;2024-02-29
1800;ROUSSILLON;TMF ESTILLAC;PRIMEVER TOULOUSE;PAL EUROPE;-5;Oui;2024-04-30
1801;ROUSSILLON;TMF TOURS;PRIMEVER TOULOUSE;PAL EUROPE;0;Oui;2024-01-31
1802;ROUSSILLON;PRIMEVER PERPIGNAN 1;PTR PERPIGNAN;PAL EUROPE;0;Oui;2024-01-31
1803;ROUSSILLON;PRIMEVER PROVENCE CHATEAURENARD;PTR PERPIGNAN;PAL EUROPE;0;Oui;2024-01-31
1804;SUD OUEST;GUIDEZ LOG MONCHY ;PRIMEVER LIMOUSIN DONZENAC;PAL DUSS;0;Oui;2022-12-31
1805;SUD OUEST;GUIDEZ MONCHY LE PREUX;PRIMEVER LIMOUSIN DONZENAC;PAL DUSS;-44;Oui;2023-09-30
1806;SUD OUEST;PRIMEVER IDF RUNGIS (GST);PRIMEVER LIMOUSIN DONZENAC;PAL DUSS;0;Oui;2023-11-30
1807;SUD OUEST;PTSO MOISSAC;PRIMEVER LIMOUSIN DONZENAC;PAL DUSS;0;Oui;2023-06-30
1808;SUD OUEST;SATAR SAMAZAN;PRIMEVER LIMOUSIN DONZENAC;PAL DUSS;-1;Non;2023-01-31
1809;SUD OUEST;;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;0;Oui;2022-12-31
1810;SUD OUEST;;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;1162;Non;2023-01-31
1811;SUD OUEST;GUIDEZ LOG MONCHY ;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;0;Oui;2023-09-30
1812;SUD OUEST;GUIDEZ MONCHY LE PREUX;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;240;Oui;2024-04-30
1813;SUD OUEST;PATL ALLONNES;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;45;Non;2023-10-31
1814;SUD OUEST;PLM MONTPELLIER;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;0;Oui;2023-09-30
1815;SUD OUEST;PLM NICE;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;0;Oui;2023-11-30
1816;SUD OUEST;PLM PLAN D'ORGON;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;4;Oui;2023-11-30
1817;SUD OUEST;PRA FEILLENS;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;7;Non;2023-11-30
1818;SUD OUEST;PRA LYON;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;9;Non;2023-11-30
1819;SUD OUEST;PRIMEVER IDF LOGISTIQUE RUNGIS;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;0;Oui;2022-12-31
1820;SUD OUEST;PRIMEVER IDF RUNGIS (GST);PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;752;Non;2023-11-30
1821;SUD OUEST;PRIMEVER ORLEANS;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;191;Non;2023-12-31
1822;SUD OUEST;PRIMEVER PERPIGNAN 1;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;-9;Non;2023-11-30
1823;SUD OUEST;PRIMEVER PERPIGNAN 5;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;-9;Oui;2024-03-31
1824;SUD OUEST;PRIMEVER PROVENCE CHATEAURENARD;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;56;Non;2023-12-31
1825;SUD OUEST;PRIMEVER SERVICES RUNGIS;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;0;Oui;2022-12-31
1826;SUD OUEST;PRIMEVER TOULOUSE;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;121;Non;2023-12-31
1827;SUD OUEST;PRIMEVER TOURS;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;0;Oui;2023-10-31
1828;SUD OUEST;PRIMEVER VDR CHATEAUNEUF SUR ISERE;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;37;Non;2023-08-31
1829;SUD OUEST;PTI AGEN;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;-36;Non;2023-09-30
1830;SUD OUEST;PTSO MOISSAC;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;-3385;Non;2022-10-31
1831;SUD OUEST;SATAR AGEN LOGISTIQUE;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;135;Non;2023-01-31
1832;SUD OUEST;SATAR AGEN PRIMEUR;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;0;Oui;2023-10-31
1833;SUD OUEST;SATAR BORDEAUX;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;898;Non;2023-11-30
1834;SUD OUEST;SATAR MOISSAC;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;2796;Non;2023-03-31
1835;SUD OUEST;SATAR SAMAZAN;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;-563;Non;2023-10-31
1836;SUD OUEST;TMF ESTILLAC;PRIMEVER LIMOUSIN DONZENAC;PAL EUROPE;0;Oui;2023-09-30
1837;SUD OUEST;GUIDEZ MONCHY LE PREUX;PTSO MOISSAC;PAL DUSS;0;Oui;2022-12-31
1838;SUD OUEST;PRIMEVER LIMOUSIN DONZENAC;PTSO MOISSAC;PAL DUSS;0;Oui;2023-10-31
1839;SUD OUEST;SATAR SAMAZAN;PTSO MOISSAC;PAL DUSS;-5;Non;2023-05-31
1840;SUD OUEST;;PTSO MOISSAC;PAL EUROPE;8;Oui;2022-10-31
1841;SUD OUEST;;PTSO MOISSAC;PAL EUROPE;0;Oui;2023-11-30
1842;SUD OUEST;GUIDEZ MONCHY LE PREUX;PTSO MOISSAC;PAL EUROPE;0;Oui;2023-11-30
1843;SUD OUEST;PATL ALLONNES;PTSO MOISSAC;PAL EUROPE;0;Oui;2023-10-31
1844;SUD OUEST;PATL REZE;PTSO MOISSAC;PAL EUROPE;4;Non;2023-01-31
1845;SUD OUEST;PLM MONTPELLIER;PTSO MOISSAC;PAL EUROPE;0;Oui;2023-09-30
1846;SUD OUEST;PLM PLAN D'ORGON;PTSO MOISSAC;PAL EUROPE;0;Oui;2023-06-30
1847;SUD OUEST;PRA FEILLENS;PTSO MOISSAC;PAL EUROPE;49;Non;2023-11-30
1848;SUD OUEST;PRA LYON;PTSO MOISSAC;PAL EUROPE;11;Non;2023-11-30
1849;SUD OUEST;PRIMAVER PERPIGNAN;PTSO MOISSAC;PAL EUROPE;0;Oui;2022-12-31
1850;SUD OUEST;PRIMEVER EUROPE AGEN;PTSO MOISSAC;PAL EUROPE;-23;Non;2023-01-31
1851;SUD OUEST;PRIMEVER IDF RUNGIS (GST);PTSO MOISSAC;PAL EUROPE;30;Non;2023-10-31
1852;SUD OUEST;PRIMEVER LIMOUSIN DONZENAC;PTSO MOISSAC;PAL EUROPE;3573;Non;2022-10-31
1853;SUD OUEST;PRIMEVER ORLEANS;PTSO MOISSAC;PAL EUROPE;0;Oui;2023-12-31
1854;SUD OUEST;PRIMEVER PERPIGNAN 1;PTSO MOISSAC;PAL EUROPE;-6;Oui;2024-01-31
1855;SUD OUEST;PRIMEVER PROVENCE CHATEAURENARD;PTSO MOISSAC;PAL EUROPE;0;Oui;2023-10-31
1856;SUD OUEST;PRIMEVER TOULOUSE;PTSO MOISSAC;PAL EUROPE;3;Oui;2023-12-31
1857;SUD OUEST;PRIMEVER TROYES;PTSO MOISSAC;PAL EUROPE;70;Non;2022-12-31
1858;SUD OUEST;PRIMEVER VDR CHATEAUNEUF SUR ISERE;PTSO MOISSAC;PAL EUROPE;26;Oui;2023-05-31
1859;SUD OUEST;PTI AGEN;PTSO MOISSAC;PAL EUROPE;-103;Non;2023-09-30
1860;SUD OUEST;SATAR AGEN LOGISTIQUE;PTSO MOISSAC;PAL EUROPE;660;Non;2023-01-31
1861;SUD OUEST;SATAR AGEN PRIMEUR;PTSO MOISSAC;PAL EUROPE;0;Oui;2023-10-31
1862;SUD OUEST;SATAR BORDEAUX;PTSO MOISSAC;PAL EUROPE;3;Non;2023-12-31
1863;SUD OUEST;SATAR MOISSAC;PTSO MOISSAC;PAL EUROPE;253;Non;2023-03-31
1864;SUD OUEST;SATAR SAMAZAN;PTSO MOISSAC;PAL EUROPE;-603;Non;2023-09-30
1865;SUD OUEST;GUIDEZ LOG MONCHY ;SATAR AGEN LOGISTIQUE;PAL DUSS;0;Oui;2023-10-31
1866;SUD OUEST;GUIDEZ MONCHY LE PREUX;SATAR AGEN LOGISTIQUE;PAL DUSS;1355;Non;2024-03-31
1867;SUD OUEST;PATL ALLONNES;SATAR AGEN LOGISTIQUE;PAL DUSS;0;Oui;2024-03-31
1868;SUD OUEST;PRIMEVER IDF RUNGIS (GST);SATAR AGEN LOGISTIQUE;PAL DUSS;160;Non;2024-03-31
1869;SUD OUEST;SATAR MOISSAC;SATAR AGEN LOGISTIQUE;PAL DUSS;1693;Non;2023-10-31
1870;SUD OUEST;SATAR SAMAZAN;SATAR AGEN LOGISTIQUE;PAL DUSS;2435;Non;2023-11-30
1871;SUD OUEST;;SATAR AGEN LOGISTIQUE;PAL EUROPE;0;Oui;2023-03-31
1872;SUD OUEST;;SATAR AGEN LOGISTIQUE;PAL EUROPE;-26;Non;2024-03-31
1873;SUD OUEST;GUIDEZ LOG MONCHY ;SATAR AGEN LOGISTIQUE;PAL EUROPE;0;Oui;2023-10-31
1874;SUD OUEST;GUIDEZ MONCHY LE PREUX;SATAR AGEN LOGISTIQUE;PAL EUROPE;1783;Non;2024-03-31
1875;SUD OUEST;PATL ALLONNES;SATAR AGEN LOGISTIQUE;PAL EUROPE;42;Non;2024-03-31
1876;SUD OUEST;PATL REZE;SATAR AGEN LOGISTIQUE;PAL EUROPE;0;Oui;2024-03-31
1877;SUD OUEST;PRA FEILLENS;SATAR AGEN LOGISTIQUE;PAL EUROPE;0;Oui;2023-03-31
1878;SUD OUEST;PRIMEVER IDF RUNGIS (GST);SATAR AGEN LOGISTIQUE;PAL EUROPE;231;Non;2024-03-31
1879;SUD OUEST;PRIMEVER LIMOUSIN DONZENAC;SATAR AGEN LOGISTIQUE;PAL EUROPE;-175;Non;2024-03-31
1880;SUD OUEST;PRIMEVER NORMANDIE ST AMAND;SATAR AGEN LOGISTIQUE;PAL EUROPE;0;Oui;2024-03-31
1881;SUD OUEST;PRIMEVER ORLEANS;SATAR AGEN LOGISTIQUE;PAL EUROPE;0;Oui;2023-11-30
1882;SUD OUEST;PRIMEVER PERPIGNAN 1;SATAR AGEN LOGISTIQUE;PAL EUROPE;2230;Non;2023-03-31
1883;SUD OUEST;PRIMEVER PERPIGNAN 2;SATAR AGEN LOGISTIQUE;PAL EUROPE;0;Oui;2024-03-31
1884;SUD OUEST;PRIMEVER PERPIGNAN 3;SATAR AGEN LOGISTIQUE;PAL EUROPE;0;Oui;2023-10-31
1885;SUD OUEST;PRIMEVER PROVENCE CHATEAURENARD;SATAR AGEN LOGISTIQUE;PAL EUROPE;-89;Non;2023-10-31
1886;SUD OUEST;PRIMEVER VDR CHATEAUNEUF SUR ISERE;SATAR AGEN LOGISTIQUE;PAL EUROPE;0;Oui;2023-10-31
1887;SUD OUEST;PTI AGEN;SATAR AGEN LOGISTIQUE;PAL EUROPE;0;Non;2024-03-31
1888;SUD OUEST;SATAR AGEN PRIMEUR;SATAR AGEN LOGISTIQUE;PAL EUROPE;0;Oui;2024-03-31
1889;SUD OUEST;SATAR MOISSAC;SATAR AGEN LOGISTIQUE;PAL EUROPE;19339;Non;2023-10-31
1890;SUD OUEST;SATAR SAMAZAN;SATAR AGEN LOGISTIQUE;PAL EUROPE;19967;Non;2023-11-30
1891;SUD OUEST;TMF BEZIERS;SATAR AGEN LOGISTIQUE;PAL EUROPE;0;Non;2024-03-31
1892;SUD OUEST;SATAR SAMAZAN;SATAR AGEN PRIMEUR;PAL DUSS;4;Oui;2023-05-31
1893;SUD OUEST;;SATAR AGEN PRIMEUR;PAL EUROPE;-4;Oui;2023-02-28
1894;SUD OUEST;;SATAR AGEN PRIMEUR;PAL EUROPE;45;Oui;2023-05-31
1895;SUD OUEST;GUIDEZ MONCHY LE PREUX;SATAR AGEN PRIMEUR;PAL EUROPE;0;Oui;2024-01-31
1896;SUD OUEST;PATL ALLONNES;SATAR AGEN PRIMEUR;PAL EUROPE;-46;Non;2024-03-31
1897;SUD OUEST;PLM PLAN D'ORGON;SATAR AGEN PRIMEUR;PAL EUROPE;236;Oui;2023-08-31
1898;SUD OUEST;PRIMEVER EUROPE AGEN;SATAR AGEN PRIMEUR;PAL EUROPE;-1;Non;2024-01-31
1899;SUD OUEST;PRIMEVER IDF RUNGIS (GST);SATAR AGEN PRIMEUR;PAL EUROPE;-29;Oui;2024-03-31
1900;SUD OUEST;PRIMEVER LIMOUSIN DONZENAC;SATAR AGEN PRIMEUR;PAL EUROPE;10;Oui;2023-08-31
1901;SUD OUEST;PRIMEVER NORMANDIE ST AMAND;SATAR AGEN PRIMEUR;PAL EUROPE;-200;Non;2024-03-31
1902;SUD OUEST;PRIMEVER PERPIGNAN 1;SATAR AGEN PRIMEUR;PAL EUROPE;-15;Oui;2024-03-31
1903;SUD OUEST;PRIMEVER PROVENCE CHATEAURENARD;SATAR AGEN PRIMEUR;PAL EUROPE;-362;Non;2024-03-31
1904;SUD OUEST;PRIMEVER TOULOUSE;SATAR AGEN PRIMEUR;PAL EUROPE;80;Oui;2023-05-31
1905;SUD OUEST;PRIMEVER VDR CHATEAUNEUF SUR ISERE;SATAR AGEN PRIMEUR;PAL EUROPE;-3;Oui;2023-10-31
1906;SUD OUEST;PTI AGEN;SATAR AGEN PRIMEUR;PAL EUROPE;378;Non;2024-03-31
1907;SUD OUEST;PTSO MOISSAC;SATAR AGEN PRIMEUR;PAL EUROPE;5;Oui;2023-02-28
1908;SUD OUEST;SATAR AGEN LOGISTIQUE;SATAR AGEN PRIMEUR;PAL EUROPE;165;Oui;2024-03-31
1909;SUD OUEST;SATAR AGEN SIEGE;SATAR AGEN PRIMEUR;PAL EUROPE;0;Oui;2023-08-31
1910;SUD OUEST;SATAR BORDEAUX;SATAR AGEN PRIMEUR;PAL EUROPE;7;Oui;2023-08-31
1911;SUD OUEST;SATAR MOISSAC;SATAR AGEN PRIMEUR;PAL EUROPE;-188;Non;2024-03-31
1912;SUD OUEST;SATAR SAMAZAN;SATAR AGEN PRIMEUR;PAL EUROPE;470;Non;2024-03-31
1913;SUD OUEST;TESSIER PONT SAINT MARTIN;SATAR AGEN PRIMEUR;PAL EUROPE;0;Oui;2024-01-31
1914;SUD OUEST;TMF BEZIERS;SATAR AGEN PRIMEUR;PAL EUROPE;0;Oui;2023-08-31
1915;SUD OUEST;TMF ESTILLAC;SATAR AGEN PRIMEUR;PAL EUROPE;-1;Oui;2024-03-31
1916;SUD OUEST;TMF TOURS;SATAR AGEN PRIMEUR;PAL EUROPE;0;Oui;2023-05-31
1917;SUD OUEST;SATAR AGEN PRIMEUR;SATAR AGEN SIEGE;PAL EUROPE;0;Oui;2023-12-31
1918;SUD OUEST;SATAR SAMAZAN;SATAR BORDEAUX;PAL DUSS;0;Oui;2024-04-30
1919;SUD OUEST;;SATAR BORDEAUX;PAL EUROPE;0;Oui;2023-05-31
1920;SUD OUEST;;SATAR BORDEAUX;PAL EUROPE;0;Oui;2023-12-31
1921;SUD OUEST;;SATAR BORDEAUX;PAL EUROPE;0;Oui;2024-04-30
1922;SUD OUEST;GUIDEZ MONCHY LE PREUX;SATAR BORDEAUX;PAL EUROPE;29;Oui;2024-04-30
1923;SUD OUEST;PATL ALLONNES;SATAR BORDEAUX;PAL EUROPE;-78;Non;2024-02-29
1924;SUD OUEST;PATL REZE;SATAR BORDEAUX;PAL EUROPE;-54;Non;2024-02-29
1925;SUD OUEST;PRIMAVER (ATD);SATAR BORDEAUX;PAL EUROPE;-17;Oui;2023-04-30
1926;SUD OUEST;PRIMAVER PERPIGNAN;SATAR BORDEAUX;PAL EUROPE;0;Oui;2024-02-29
1927;SUD OUEST;PRIMEVER IDF RUNGIS (GST);SATAR BORDEAUX;PAL EUROPE;-39;Non;2024-02-29
1928;SUD OUEST;PRIMEVER LIMOUSIN DONZENAC;SATAR BORDEAUX;PAL EUROPE;-807;Non;2023-04-30
1929;SUD OUEST;PRIMEVER NORMANDIE ST AMAND;SATAR BORDEAUX;PAL EUROPE;-217;Non;2024-02-29
1930;SUD OUEST;PRIMEVER PERPIGNAN 1;SATAR BORDEAUX;PAL EUROPE;-43;Non;2023-10-31
1931;SUD OUEST;PRIMEVER PROVENCE CHATEAURENARD;SATAR BORDEAUX;PAL EUROPE;-47;Non;2023-04-30
1932;SUD OUEST;PRIMEVER TOURS;SATAR BORDEAUX;PAL EUROPE;-3;Non;2023-12-31
1933;SUD OUEST;PRIMEVER VDR CHATEAUNEUF SUR ISERE;SATAR BORDEAUX;PAL EUROPE;0;Oui;2023-06-30
1934;SUD OUEST;PTI AGEN;SATAR BORDEAUX;PAL EUROPE;-5;Non;2023-05-31
1935;SUD OUEST;PTSO MOISSAC;SATAR BORDEAUX;PAL EUROPE;0;Oui;2024-01-31
1936;SUD OUEST;SATAR AGEN PRIMEUR;SATAR BORDEAUX;PAL EUROPE;0;Oui;2023-08-31
1937;SUD OUEST;SATAR MOISSAC;SATAR BORDEAUX;PAL EUROPE;-17;Non;2024-02-29
1938;SUD OUEST;SATAR SAMAZAN;SATAR BORDEAUX;PAL EUROPE;1616;Oui;2024-04-30
1939;SUD OUEST;TMF BEZIERS;SATAR BORDEAUX;PAL EUROPE;-54;Non;2024-01-31
1940;SUD OUEST;TMF ESTILLAC;SATAR BORDEAUX;PAL EUROPE;0;Oui;2023-03-31
1941;SUD OUEST;TMF TOURS;SATAR BORDEAUX;PAL EUROPE;0;Oui;2023-07-31
1942;SUD OUEST;TRAFIBA ST GEOURS DE MAREMME;SATAR BORDEAUX;PAL EUROPE;0;Oui;2024-01-31
1943;SUD OUEST;PATL REZE;SATAR MOISSAC;PAL DUSS;0;Oui;2022-12-31
1944;SUD OUEST;PRIMEVER PERPIGNAN 1;SATAR MOISSAC;PAL DUSS;0;Oui;2023-11-30
1945;SUD OUEST;PRIMEVER VDR CHATEAUNEUF SUR ISERE;SATAR MOISSAC;PAL DUSS;0;Oui;2023-08-31
1946;SUD OUEST;SATAR AGEN LOGISTIQUE;SATAR MOISSAC;PAL DUSS;257;Non;2023-10-31
1947;SUD OUEST;;SATAR MOISSAC;PAL EUROPE;0;Oui;2022-12-31
1948;SUD OUEST;FTL LE CRES;SATAR MOISSAC;PAL EUROPE;967;Non;2024-03-31
1949;SUD OUEST;GUIDEZ LOG MONCHY ;SATAR MOISSAC;PAL EUROPE;0;Oui;2022-12-31
1950;SUD OUEST;GUIDEZ MONCHY LE PREUX;SATAR MOISSAC;PAL EUROPE;-272;Non;2024-02-29
1951;SUD OUEST;PATL ALLONNES;SATAR MOISSAC;PAL EUROPE;-38;Non;2023-09-30
1952;SUD OUEST;PATL REZE;SATAR MOISSAC;PAL EUROPE;-143;Non;2023-12-31
1953;SUD OUEST;PLM MONTPELLIER;SATAR MOISSAC;PAL EUROPE;3;Non;2024-03-31
1954;SUD OUEST;PLM NICE;SATAR MOISSAC;PAL EUROPE;16;Oui;2023-09-30
1955;SUD OUEST;PLM PLAN D'ORGON;SATAR MOISSAC;PAL EUROPE;782;Non;2024-03-31
1956;SUD OUEST;PRA LYON;SATAR MOISSAC;PAL EUROPE;0;Oui;2023-12-31
1957;SUD OUEST;PRIMAVER PERPIGNAN;SATAR MOISSAC;PAL EUROPE;-337;Non;2022-12-31
1958;SUD OUEST;PRIMEVER EUROPE AGEN;SATAR MOISSAC;PAL EUROPE;451;Non;2022-12-31
1959;SUD OUEST;PRIMEVER IDF LOGISTIQUE RUNGIS;SATAR MOISSAC;PAL EUROPE;0;Oui;2022-12-31
1960;SUD OUEST;PRIMEVER IDF LOGISTIQUE RUNGIS;SATAR MOISSAC;PAL EUROPE;29;Non;2023-12-31
1961;SUD OUEST;PRIMEVER IDF RUNGIS (GST);SATAR MOISSAC;PAL EUROPE;654;Non;2023-12-31
1962;SUD OUEST;PRIMEVER LIMOUSIN DONZENAC;SATAR MOISSAC;PAL EUROPE;-833;Non;2023-03-31
1963;SUD OUEST;PRIMEVER ORLEANS;SATAR MOISSAC;PAL EUROPE;81;Non;2023-12-31
1964;SUD OUEST;PRIMEVER PERPIGNAN 1;SATAR MOISSAC;PAL EUROPE;-48;Non;2023-11-30
1965;SUD OUEST;PRIMEVER PERPIGNAN 3;SATAR MOISSAC;PAL EUROPE;0;Oui;2023-03-31
