;Agence;Nom Tiers Agence;Solde;Solde confirmé ?;Date Solde
308;SATAR AGEN PRIMEUR;SATAR MOISSAC;285;Non;2023-07-31
309;SATAR SAMAZAN;SATAR MOISSAC;0;Oui;2024-03-31
310;SATAR BORDEAUX;SATAR MOISSAC;144;Non;2023-03-31
311;SATAR AGEN LOGISTIQUE;SATAR MOISSAC;-3592;Non;2023-10-31
312;TMF BEZIERS;SATAR MOISSAC;29;Non;2024-01-31
313;TMF ESTILLAC;SATAR MOISSAC;100;Non;2023-07-31
314;TRAFIBA ST GEOURS DE MAREMME;SATAR MOISSAC;0;Oui;2022-12-31
315;GUIDEZ MONCHY LE PREUX;SATAR SAMAZAN;296;Non;2024-01-31
316;GUIDEZ LOG MONCHY ;SATAR SAMAZAN;0;Oui;2023-11-30
317;PRA LYON;SATAR SAMAZAN;-398;Non;2023-12-31
318;PRIMAVER PERPIGNAN;SATAR SAMAZAN;0;Oui;2024-03-31
319;PATL ALLONNES;SATAR SAMAZAN;-710;Non;2023-11-30
320;PATL REZE;SATAR SAMAZAN;-236;Oui;2024-03-31
321;PRIMEVER EUROPE AGEN;SATAR SAMAZAN;-117;Non;2023-09-30
322;PRIMEVER IDF LOGISTIQUE RUNGIS;SATAR SAMAZAN;150;Oui;2023-10-31
323;PRIMEVER IDF LOGISTIQUE RUNGIS;SATAR SAMAZAN;38;Non;2023-09-30
324;PRIMEVER IDF RUNGIS (GST);SATAR SAMAZAN;4;Non;2023-10-31
325;PRIMEVER LIMOUSIN DONZENAC;SATAR SAMAZAN;905;Non;2023-11-01
326;PRIMEVER NORMANDIE ST AMAND;SATAR SAMAZAN;-53;Oui;2024-02-29
327;PRIMEVER ORLEANS;SATAR SAMAZAN;117;Non;2023-08-31
328;PRIMEVER PERPIGNAN 1;SATAR SAMAZAN;1103;Non;2023-11-30
329;PRIMEVER PERPIGNAN 5;SATAR SAMAZAN;0;Oui;2022-12-31
330;PLM MONTPELLIER;SATAR SAMAZAN;25;Oui;2024-03-31
331;PLM PLAN D'ORGON;SATAR SAMAZAN;442;Non;2023-11-30
332;PRIMEVER PROVENCE CHATEAURENARD;SATAR SAMAZAN;-2323;Oui;2024-03-31
333;PRIMEVER TOULOUSE;SATAR SAMAZAN;538;Non;2024-02-29
334;PRIMEVER TOURS;SATAR SAMAZAN;32;Non;2024-02-29
335;PTI AGEN;SATAR SAMAZAN;97;Non;2024-02-29
336;PTSO MOISSAC;SATAR SAMAZAN;587;Non;2023-10-31
337;PRIMEVER VDR CHATEAUNEUF SUR ISERE;SATAR SAMAZAN;-513;Non;2024-02-29
338;SATAR AGEN SIEGE;SATAR SAMAZAN;0;Oui;2022-12-28
339;SATAR AGEN PRIMEUR;SATAR SAMAZAN;-512;Oui;2024-03-31
340;SATAR BORDEAUX;SATAR SAMAZAN;-1736;Non;2024-02-29
341;SATAR MOISSAC;SATAR SAMAZAN;68;Non;2023-10-31
342;SATAR AGEN LOGISTIQUE;SATAR SAMAZAN;-8066;Non;2023-11-30
343;TMF PLAN D'ORGON;SATAR SAMAZAN;405;Non;2023-12-31
344;TMF BEZIERS;SATAR SAMAZAN;128;Oui;2024-03-31
345;TMF LE CRES;SATAR SAMAZAN;280;Non;2023-10-31
346;TMF TOURS;SATAR SAMAZAN;124;Non;2023-10-31
347;TMF ESTILLAC;SATAR SAMAZAN;794;Non;2024-01-31
348;TRAFIBA ST GEOURS DE MAREMME;SATAR SAMAZAN;271;Non;2024-02-29
349;PRIMEVER EUROPE AGEN;TRAFIBA ST GEOURS DE MAREMME;-1;Non;2024-02-29
350;PTI AGEN;TRAFIBA ST GEOURS DE MAREMME;-37;Oui;2024-02-29
351;SATAR SAMAZAN;TRAFIBA ST GEOURS DE MAREMME;-233;Oui;2024-03-31
352;SATAR BORDEAUX;TRAFIBA ST GEOURS DE MAREMME;-14;Oui;2024-02-29
353;SATAR MOISSAC;TRAFIBA ST GEOURS DE MAREMME;2;Oui;2024-02-29
